state,date,forecast_sales,model
Kansas,2023-12-17,172503694.51,Sample seasonal-naive preview
Kansas,2023-12-24,181403793.84,Sample seasonal-naive preview
Kansas,2023-12-31,190303893.17,Sample seasonal-naive preview
Kansas,2024-01-07,199203992.5,Sample seasonal-naive preview
Kansas,2024-01-14,208104091.83,Sample seasonal-naive preview
Kansas,2024-01-21,217004191.16,Sample seasonal-naive preview
Kansas,2024-01-28,225904290.49,Sample seasonal-naive preview
Kentucky,2023-12-10,312666729.21,Sample seasonal-naive preview
Kentucky,2023-12-17,330753345.65,Sample seasonal-naive preview
Kentucky,2023-12-24,348839962.09,Sample seasonal-naive preview
Kentucky,2023-12-31,366926578.52,Sample seasonal-naive preview
Kentucky,2024-01-07,385013194.96,Sample seasonal-naive preview
Kentucky,2024-01-14,403099811.4,Sample seasonal-naive preview
Kentucky,2024-01-21,421186427.83,Sample seasonal-naive preview
Kentucky,2024-01-28,439273044.27,Sample seasonal-naive preview
Louisiana,2023-12-10,336369191.08,Sample seasonal-naive preview
Louisiana,2023-12-17,356585915.65,Sample seasonal-naive preview
Louisiana,2023-12-24,376802640.21,Sample seasonal-naive preview
Louisiana,2023-12-31,397019364.77,Sample seasonal-naive preview
Louisiana,2024-01-07,417236089.33,Sample seasonal-naive preview
Louisiana,2024-01-14,437452813.9,Sample seasonal-naive preview
Louisiana,2024-01-21,457669538.46,Sample seasonal-naive preview
Louisiana,2024-01-28,477886263.02,Sample seasonal-naive preview
Maine,2023-12-10,86216271.08,Sample seasonal-naive preview
Maine,2023-12-17,91516264.25,Sample seasonal-naive preview
Maine,2023-12-24,96816257.43,Sample seasonal-naive preview
Maine,2023-12-31,102116250.6,Sample seasonal-naive preview
Maine,2024-01-07,107416243.78,Sample seasonal-naive preview
Maine,2024-01-14,112716236.95,Sample seasonal-naive preview
Maine,2024-01-21,118016230.13,Sample seasonal-naive preview
Maine,2024-01-28,123316223.3,Sample seasonal-naive preview
Maryland,2023-12-10,296762448.97,Sample seasonal-naive preview
